Symbol,Name,Sector,Shares,Listed In
LSECL,LSE Capital Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,"181,153,345",ALLSHR
LSEFSL,LSE Financial Services Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,"35,677,578",ALLSHR
LSEVL,LSE Ventures Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"179,597,880",ALLSHR
LUCK,Lucky Cement Limited,CEMENT,"1,465,000,000",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINBPPGINITPGIUPP9
MACFL,MACPAC Films Limited,"PAPER, BOARD & PACKAGING","59,301,150",ALLSHRKMIALLSHR
MACTER,Macter International Limited,PHARMACEUTICALS,"45,811,018",ALLSHRKMIALLSHR
MARI,Mari Energies Limited,OIL & GAS EXPLORATION COMPANIES,"1,200,622,500",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINITPGIOGTI
MCB,MCB Bank Limited,COMMERCIAL BANKS,"1,185,060,006",ALLSHRBKTIJSGBKTIKSE100KSE100PRKSE30NBPPGINITPGIPSXDIV20UPP9
MCBIM,MCB Investment Management Limited.,INV. BANKS / INV. COS. / SECURITIES COS.,"72,000,000",ALLSHR
MDTL,Media Times Limited,TECHNOLOGY & COMMUNICATION,"178,851,010",ALLSHR
MEBL,Meezan Bank Limited,COMMERCIAL BANKS,"1,794,740,714",ALLSHRBKTIJSGBKTIJSMFIKMI30KMIALLSHRKSE100KSE100PRKSE30MII30NBPPGINITPGIPSXDIV20UPP9
MEHT,Mehmood Textile Mills Limited,TEXTILE COMPOSITE,"30,000,000",ALLSHRKSE100KSE100PR
MERIT,Merit Packaging Limited,"PAPER, BOARD & PACKAGING","199,958,427",ALLSHRKMIALLSHR
MFFL,Mitchells Fruit Farms Limited,FOOD & PERSONAL CARE PRODUCTS,"22,875,000",ALLSHRKMIALLSHR
MFL,Matco Foods Limited,FOOD & PERSONAL CARE PRODUCTS,"122,400,698",ALLSHR
MIIETF,Mahaana Islamic Index ETF,EXCHANGE TRADED FUNDS,"31,290,000",
MIRKS,Mirpurkhas Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"66,557,888",ALLSHRKMIALLSHR
MLCF,Maple Leaf Cement Factory Limited,CEMENT,"1,047,562,608",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPI
MQTM,Maqbool Textile Mills Limited,TEXTILE SPINNING,"18,432,000",ALLSHRKMIALLSHR
MRNS,Mehran Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"74,927,989",ALLSHR
MSCL,Metropolitan Steel Corporation Limited,ENGINEERING,"30,977,500",ALLSHRKMIALLSHR
MSOT,Masood Textile Mills Limited,TEXTILE COMPOSITE,"67,500,000",ALLSHR
MSOTPS,Masood Textile (Pref),TEXTILE COMPOSITE,"27,500,000",ALLSHR
MTL,Millat Tractors Limited,AUTOMOBILE ASSEMBLER,"199,515,947",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30PSXDIV20
MUGHAL,Mughal Iron & Steel Industries Limited,ENGINEERING,"335,633,933",ACIALLSHRKMIALLSHRKSE100KSE100PR
MUGHALC,Mughal Iron & Steel Industries Ltd(C),ENGINEERING,"33,062,447",ALLSHR
MUREB,Murree Brewery Company Limited,FOOD & PERSONAL CARE PRODUCTS,"27,663,631",ALLSHRKSE100KSE100PR
MWMP,Mandviwala Mauser Plastic Industries,MISCELLANEOUS,"28,748,133",ALLSHR
MZNPETF,Meezan Pakistan ETF,EXCHANGE TRADED FUNDS,"25,350,000",
NAGC,Nagina Cotton Mills Limited,TEXTILE SPINNING,"18,700,000",ALLSHR
NATF,National Foods Limited,FOOD & PERSONAL CARE PRODUCTS,"233,115,250",ALLSHRJSMFIKMIALLSHRKSE100KSE100PR
NATM,Nadeem Textile Mills Limited,TEXTILE SPINNING,"21,266,735",ALLSHR
NBP,National Bank of Pakistan,COMMERCIAL BANKS,"2,127,512,862",ALLSHRBKTIJSGBKTIJSMFIKSE100KSE100PRKSE30
NBPGETF,NBP Pakistan Growth ETF,EXCHANGE TRADED FUNDS,"6,360,000",
NCL,Nishat Chunian Limited,TEXTILE COMPOSITE,"240,119,029",ACIALLSHR
NCPL,Nishat Chunian Power Limited,POWER GENERATION & DISTRIBUTION,"367,346,939",ALLSHR
NESTLE,Nestle Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,"45,349,584",ALLSHRKMIALLSHRKSE100KSE100PR
NETSOL,NetSol Technologies Limited,TECHNOLOGY & COMMUNICATION,"89,836,923",ALLSHRKMI30KMIALLSHRKSE30
NEXT,Next Capital Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"56,925,000",ALLSHR
NICL,Nimir Industrial Chemicals Limited,CHEMICAL,"110,590,546",ALLSHR
NITGETF,NIT Pakistan Gateway ETF,EXCHANGE TRADED FUNDS,"4,400,000",
NML,Nishat Mills Limited,TEXTILE COMPOSITE,"351,599,848",ACIALLSHRJSMFIKMIALLSHRKSE100KSE100PRMII30
NONS,Noon Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"16,517,456",ALLSHR
NPL,Nishat Power Limited,POWER GENERATION & DISTRIBUTION,"354,088,500",ALLSHRKSE100KSE100PR
NRL,National Refinery Limited,REFINERY,"79,966,560",ALLSHR
NRSL,Nimir Resins Limited,CHEMICAL,"141,321,100",ALLSHRKMIALLSHR
NSRM,The National Silk & Rayon Mills Limited,SYNTHETIC & RAYON,"15,553,133",ALLSHRKMIALLSHR
OBOY,Oilboy Energy Limited,OIL & GAS MARKETING COMPANIES,"25,000,000",ALLSHRKMIALLSHR
OCTOPUS,Octopus Digital Limited,TECHNOLOGY & COMMUNICATION,"157,262,502",ALLSHRKMI30KMIALLSHR
OGDC,Oil & Gas Development Company Limited,OIL & GAS EXPLORATION COMPANIES,"4,300,928,400",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINBPPGINITPGIOGTIPSXDIV20
OLPL,OLP Financial Services Pakistan Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"175,407,648",ALLSHR
OLPM,OLP Modaraba,MODARABAS,"45,383,530",ALLSHRKMIALLSHR
OML,Olympia Mills Limited,MISCELLANEOUS,"12,000,000",ALLSHRKMIALLSHR
ORM,Orient Rental Mod,MODARABAS,"75,000,000",ALLSHRKMIALLSHR
OTSU,Otsuka Pakistan Limited,PHARMACEUTICALS,"12,100,000",ALLSHR
PABC,Pakistan Aluminium Beverage Cans Limited,MISCELLANEOUS,"361,108,254",ALLSHRKSE100KSE100PR
PACE,Pace (Pakistan) Limited,PROPERTY,"278,876,604",ALLSHR
PAEL,Pak Elektron Limited,CABLE & ELECTRICAL GOODS,"923,649,501",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30
PAKD,Pak Datacom Limited,TECHNOLOGY & COMMUNICATION,"11,859,210",ALLSHRKMIALLSHR
PAKL,Pak Leather Crafts Limited,LEATHER & TANNERIES,"3,400,000",ALLSHR
PAKOXY,Pakistan Oxygen Limited,CHEMICAL,"87,124,228",ALLSHRKMIALLSHR
PAKRI,Pakistan Reinsurance Company Limited,INSURANCE,"900,000,000",ALLSHR
PAKT,Pakistan Tobacco Company Limited,TOBACCO,"255,493,792",ALLSHRKSE100KSE100PR
PCAL,Pakistan Cables Limited,CABLE & ELECTRICAL GOODS,"54,457,418",ALLSHR
PGLC,Pak-Gulf Leasing Company Limited,LEASING COMPANIES,"49,471,110",ALLSHRKSE100KSE100PR
PIAHCLA,PIA Holding Company Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"5,233,762,118",ALLSHRJSMFI
PIAHCLB,PIA Holding Company LimitedB,INV. BANKS / INV. COS. / SECURITIES COS.,"1,500,000",ALLSHR
PIBTL,Pakistan International Bulk Terminal,TRANSPORT,"1,786,092,772",ALLSHRKMIALLSHRKSE100KSE100PR
PICT,Pakistan International Container,TRANSPORT,"109,153,152",ALLSHR
PIM,Popular Islamic Modaraba,MODARABAS,"20,000,000",ALLSHRKMIALLSHR
PINL,Premier Insurance Limited,INSURANCE,"50,565,105",ALLSHR
PIOC,Pioneer Cement Limited,CEMENT,"227,148,793",ALLSHRKMI30KMIALLSHRKSE100KSE100PRMII30
PKGI,The Pakistan General Insurance Co. Ltd.,INSURANCE,"50,000,000",ALLSHR
PKGP,Pakgen Power Limited,POWER GENERATION & DISTRIBUTION,"372,081,591",ALLSHRKSE100KSE100PR
PKGS,Packages Limited,"PAPER, BOARD & PACKAGING","89,379,504",ALLSHRKMIALLSHRKSE100KSE100PR
PMPK,Philip Morris (Pakistan) Limited,TOBACCO,"61,580,341",ALLSHR
PMRS,The Premier Sugar Mills,SUGAR & ALLIED INDUSTRIES,"3,750,000",ALLSHR
PNSC,Pakistan National Shipping Corporation,TRANSPORT,"198,095,040",ALLSHR
POL,Pakistan Oilfields Limited,OIL & GAS EXPLORATION COMPANIES,"283,855,104",ALLSHRKSE100KSE100PRKSE30NBPPGINITPGIPSXDIV20
POML,Punjab Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES,"7,762,500",ALLSHRKMIALLSHRKSE100KSE100PR
POWER,Power Cement Limited,CEMENT,"1,192,988,734",ALLSHRKMIALLSHR
POWERPS,Power Cement (Pref),CEMENT,"147,404,586",ALLSHR
PPL,Pakistan Petroleum Limited,OIL & GAS EXPLORATION COMPANIES,"2,720,967,548",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINBPPGINITPGIOGTI
PPP,Pakistan Paper Products Limited,"PAPER, BOARD & PACKAGING","8,000,000",ALLSHRKMIALLSHR
PREMA,At-Tahur Limited,FOOD & PERSONAL CARE PRODUCTS,"218,639,430",ALLSHRKMIALLSHR
PRET,Premium Textile Mills Limited,TEXTILE SPINNING,"6,163,000",ALLSHR
PRL,Pakistan Refinery Limited,REFINERY,"630,000,000",ALLSHRKMI30KMIALLSHR
PRWM,Prosperity Weaving Mills Limited,TEXTILE WEAVING,"18,480,000",ALLSHR
PSEL,Pakistan Services Limited,MISCELLANEOUS,"32,524,250",ALLSHRKMIALLSHRKSE100KSE100PR
PSO,Pakistan State Oil Company Limited,OIL & GAS MARKETING COMPANIES,"469,473,300",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30MZNPINBPPGI
PSX,Pakistan Stock Exchange Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"801,476,600",ALLSHRKSE100KSE100PR
PSYL,Pakistan Synthetics Limited,SYNTHETIC & RAYON,"138,699,000",ALLSHRKMIALLSHR
PTC,Pakistan Telecommunication Company Ltd,TECHNOLOGY & COMMUNICATION,"3,774,000,000",ALLSHRKSE100KSE100PR
PTL,Panther Tyres Ltd.,AUTOMOBILE PARTS & ACCESSORIES,"168,000,000",ALLSHR
QUICE,Quice Food Industries Limited,FOOD & PERSONAL CARE PRODUCTS,"98,461,828",ALLSHRKMIALLSHR
RCML,Reliance Cotton Spinning Mills Limited,TEXTILE SPINNING,"10,652,000",ALLSHRKMIALLSHR
REDCO,Redco Textiles Limited,TEXTILE COMPOSITE,"49,292,600",ALLSHRKMIALLSHR
REWM,Reliance Weaving Mills Limited,TEXTILE COMPOSITE,"30,810,938",ALLSHR
RICL,Reliance Insurance Company Limited,INSURANCE,"100,472,301",ALLSHR
RMPL,Rafhan Maize Products Company Limited,FOOD & PERSONAL CARE PRODUCTS,"9,236,400",ALLSHRKMIALLSHRKSE100KSE100PR
RPL,Roshan Packages Limited,"PAPER, BOARD & PACKAGING","141,900,000",ALLSHRKMIALLSHR
RUPL,Rupali Polyester Limited,SYNTHETIC & RAYON,"34,068,500",ALLSHRKMIALLSHR
SAIF,Saif Textile Mills Limited,TEXTILE SPINNING,"26,412,900",ALLSHR
SANSM,Sanghar Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"11,946,000",ALLSHRKMIALLSHR
SAPT,Sapphire Textile Mills Limited,TEXTILE COMPOSITE,"21,689,791",ALLSHR
SARC,Sardar Chemical Industries Limited,CHEMICAL,"6,000,000",ALLSHRKMIALLSHR
SASML,Sindh Abadgars Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"10,425,000",ALLSHRKMIALLSHR
SAZEW,Sazgar Engineering Works Limited,AUTOMOBILE ASSEMBLER,"60,445,961",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30
SBL,Samba Bank Limited,COMMERCIAL BANKS,"1,008,238,648",ALLSHR
SCBPL,Standard Chartered Bank (Pak) Ltd,COMMERCIAL BANKS,"3,871,585,021",ALLSHRKSE100KSE100PR
SCL,Shield Corporation Limited,FOOD & PERSONAL CARE PRODUCTS,"3,900,000",ALLSHRKMIALLSHR
SEARL,The Searle Company Limited,PHARMACEUTICALS,"511,494,426",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30
SEL,Sitara Energy Limited,POWER GENERATION & DISTRIBUTION,"19,092,000",ALLSHRKMIALLSHR
SEPL,Security Papers Limited,"PAPER, BOARD & PACKAGING","59,255,985",ALLSHR
SERT,Service Industries Textiles Limited,TEXTILE SPINNING,"13,787,567",ALLSHRKMIALLSHR
SFL,Sapphire Fibres Limited,TEXTILE COMPOSITE,"20,671,875",ALLSHRKMIALLSHR
SGF,Service GlobalFootwear Limited,LEATHER & TANNERIES,"206,467,605",ALLSHRKMIALLSHR
SGPL,S.G. Power Limited,POWER GENERATION & DISTRIBUTION,"17,833,200",ALLSHRKMIALLSHR
SHCM,Shadman Cotton Mills Limited,TEXTILE SPINNING,"17,636,800",ALLSHRKMIALLSHR
SHDT,Shadab Textile Mills Limited,TEXTILE SPINNING,"16,600,000",ALLSHRKMIALLSHR
SHEZ,Shezan International Limited,FOOD & PERSONAL CARE PRODUCTS,"9,663,060",ALLSHRKMIALLSHR
SHFA,Shifa International Hospitals Limited,MISCELLANEOUS,"63,214,383",ALLSHRKMIALLSHR
SHJS,Shahtaj Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"12,011,200",ALLSHR
SHNI,Shaheen Insurance Company Limited,INSURANCE,"80,625,000",ALLSHR
SHSML,Shahmurad Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"21,118,663",ALLSHRKMIALLSHR
SIBL,Security Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"59,148,593",ALLSHR
SIEM,Siemens (Pakistan) Engineering,CABLE & ELECTRICAL GOODS,"8,247,037",ALLSHR
SINDM,Sindh Modaraba,MODARABAS,"45,000,000",ALLSHRKMIALLSHR
SITC,Sitara Chemical Industries Limited,CHEMICAL,"21,429,524",ALLSHRKMIALLSHR
SLCPA,Security Leasing Corp.9.10%(Pref),LEASING COMPANIES,"11,250,000",ALLSHR
SLGL,Secure Logistics Group Limited,TRANSPORT,"417,576,096",ALLSHRKMIALLSHR
SMCPL,Safe Mix Concrete Limited,CEMENT,"25,000,000",ALLSHRKMIALLSHR
SNAI,Sana Industries Limited,TEXTILE SPINNING,"19,965,000",ALLSHRKMIALLSHR
SNBL,Soneri Bank Limited,COMMERCIAL BANKS,"1,102,463,503",ALLSHR
SNGP,Sui Northern Gas Pipelines Limited,OIL & GAS MARKETING COMPANIES,"634,216,665",ACIALLSHRKMI30KMIALLSHRKSE100KSE100PRMII30MZNPI
SPEL,SPEL Limited,"PAPER, BOARD & PACKAGING","199,736,016",ALLSHRKMIALLSHR
SPWL,Saif Power Limited,POWER GENERATION & DISTRIBUTION,"386,471,779",ALLSHRKMIALLSHR
SRVI,Service Industries Limited,LEATHER & TANNERIES,"46,987,500",ALLSHRKSE100KSE100PR
SSGC,Sui Southern Gas Company Limited,OIL & GAS MARKETING COMPANIES,"880,916,309",ALLSHRJSMFIKMIALLSHR
SSOM,S.S.Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES,"5,658,400",ALLSHRKMIALLSHR
STCL,Shabbir Tiles & Ceramics Limited,GLASS & CERAMICS,"239,320,475",ALLSHRKMIALLSHR
STJT,Shahtaj Textile Limited,TEXTILE WEAVING,"9,660,000",ALLSHRKMIALLSHR
STL,Supernet Technologies Limited,TECHNOLOGY & COMMUNICATION,"500,000",ALLSHRKMIALLSHR
STML,Shams Textile Mills Limited,TEXTILE COMPOSITE,"8,640,000",ALLSHRKMIALLSHR
STPL,Siddiqsons Tin Plate Limited,MISCELLANEOUS,"229,278,733",ALLSHR
STYLERS,Stylers International Limited,TEXTILE COMPOSITE,"488,827,773",ALLSHRKMIALLSHR
SURC,Suraj Cotton Mills Limited,TEXTILE COMPOSITE,"48,809,516",ALLSHRKMIALLSHR
SUTM,Sunrays Textile Mills Limited,TEXTILE SPINNING,"20,700,000",ALLSHR
SYM,Symmetry Group Limited,TECHNOLOGY & COMMUNICATION,"285,245,524",ALLSHRKMIALLSHR
SYS,Systems Limited,TECHNOLOGY & COMMUNICATION,"1,467,415,750",ALLSHRKMI30KMIALLSHRKSE100KSE100PRKSE30MII30NBPPGIUPP9
SZTM,Shahzad Textile Mills Limited,TEXTILE SPINNING,"17,971,372",ALLSHRKMIALLSHR
TATM,Tata Textile Mills Limited,TEXTILE SPINNING,"55,993,614",ALLSHR
TBL,Treet Battery Limited.,AUTOMOBILE PARTS & ACCESSORIES,"1,082,593,173",ALLSHR
TCORP,Tariq Corporation Limited,SUGAR & ALLIED INDUSTRIES,"66,206,250",ALLSHRKMIALLSHR
TCORPCPS,Tariq Corporation Limited(Pref),SUGAR & ALLIED INDUSTRIES,"14,445,000",ALLSHR
TELE,Telecard Limited,TECHNOLOGY & COMMUNICATION,"338,625,000",ALLSHRKMIALLSHR
TGL,Tariq Glass Industries Limited,GLASS & CERAMICS,"172,167,188",ALLSHRKMIALLSHRKSE100KSE100PRMII30
THALL,Thal Limited,AUTOMOBILE PARTS & ACCESSORIES,"81,029,917",ALLSHRKSE100KSE100PR
THCCL,Thatta Cement Company Limited,CEMENT,"498,590,625",ALLSHR
TICL,The Thal Industries Corporation Limited,SUGAR & ALLIED INDUSTRIES,"15,023,200",ALLSHRKMIALLSHR
TOMCL,The Organic Meat Company Limited,FOOD & PERSONAL CARE PRODUCTS,"178,491,213",ALLSHRKMI30KMIALLSHR
TOWL,Towellers Limited,TEXTILE COMPOSITE,"17,000,000",ALLSHRKMIALLSHR
TPL,TPL Corp Limited,TECHNOLOGY & COMMUNICATION,"267,297,763",ALLSHR
TPLI,TPL Insurance Limited,INSURANCE,"198,394,462",ALLSHR
TPLL,TPL Life Insurance Limited,INSURANCE,"224,500,000",ALLSHR
TPLP,TPL Properties Limited,PROPERTY,"561,086,876",ALLSHRKMIALLSHR
TPLRF1,TPL REIT Fund I,REAL ESTATE INVESTMENT TRUST,"1,835,000,000",ALLSHRKMIALLSHRKSE100KSE100PR
TPLT,TPL Trakker Limited,TECHNOLOGY & COMMUNICATION,"187,263,093",ALLSHRKMIALLSHR
TREET,Treet Corporation Limited,FOOD & PERSONAL CARE PRODUCTS,"371,028,814",ALLSHRJSMFIKMIALLSHR
TRG,TRG Pakistan Limited,TECHNOLOGY & COMMUNICATION,"545,390,665",ALLSHRKSE100KSE100PR
TRIPF,Tri-Pack Films Limited,MISCELLANEOUS,"38,800,000",ALLSHR
TRSM,Trust Modaraba,MODARABAS,"29,800,000",ALLSHRKMIALLSHR
TSBL,Trust Securities & Brokerage Limited,INV. BANKS / INV. COS. / SECURITIES COS.,"30,000,000",ALLSHR
TSMF,Tri-Star Mutual Fund Limited,CLOSE - END MUTUAL FUND,"5,000,000",ALLSHR
TSML,Tandlianwala Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,"117,706,300",ALLSHR
TSPL,Tri-Star Power Limited,POWER GENERATION & DISTRIBUTION,"15,000,000",ALLSHR
UBDL,United Brands Limited,MISCELLANEOUS,"91,800,000",ALLSHRKMIALLSHR
UBL,United Bank Limited,COMMERCIAL BANKS,"2,504,247,750",ALLSHRBKTIJSGBKTIKSE100KSE100PRKSE30NBPPGINITPGIPSXDIV20UPP9
UBLPETF,UBLPakistan Enterprise ETF,EXCHANGE TRADED FUNDS,"4,280,000",
UCAPM,Unicap Modaraba,MODARABAS,"23,640,000",ALLSHRKMIALLSHR
UDLI,UDL International Limited,MISCELLANEOUS,"35,120,548",ALLSHR
UDPL,United Distributors Pakistan Limited,MISCELLANEOUS,"35,271,134",ALLSHRKMIALLSHR
UNIC,The United Insurance Company,INSURANCE,"416,100,000",ALLSHR
UNITY,Unity Foods Limited,FOOD & PERSONAL CARE PRODUCTS,"1,194,050,000",ACIALLSHRKMIALLSHRKSE100KSE100PR
UPFL,Unilever Pakistan Foods Limited,FOOD & PERSONAL CARE PRODUCTS,"6,369,932",ALLSHRKMIALLSHRKSE100KSE100PR
UVIC,The Universal Insurance Company Limited,INSURANCE,"50,000,000",ALLSHR
WAFI,Wafi Energy Pakistan Limited,OIL & GAS MARKETING COMPANIES,"214,024,662",ALLSHRKMIALLSHR
WAHN,Wah Noble Chemicals Limited,CHEMICAL,"9,000,000",ALLSHRKMIALLSHR
WASL,Wasl Mobility Modaraba,MODARABAS,"129,391,676",ALLSHRKMIALLSHR
WAVES,Waves Corporation Limited,CABLE & ELECTRICAL GOODS,"281,406,088",ALLSHR
WAVESAPP,Waves Home Appliances Limited,CABLE & ELECTRICAL GOODS,"267,885,307",ALLSHR
WTL,Worldcall Telecom Limited,TECHNOLOGY & COMMUNICATION,"4,982,289,186",ALLSHR
YOUW,Yousaf Weaving Mills Limited,TEXTILE WEAVING,"136,000,000",ALLSHRKMIALLSHRKSE100KSE100PR
ZAHID,Zahidjee Textile Mills Limited,TEXTILE COMPOSITE,"191,421,102",ALLSHRKMIALLSHR
ZAL,Zarea Limited,TECHNOLOGY & COMMUNICATION,"262,500,000",ALLSHR
ZIL,ZIL Limited,FOOD & PERSONAL CARE PRODUCTS,"6,122,600",ALLSHRKMIALLSHR
ZTL,Zephyr Textiles Limited,TEXTILE WEAVING,"59,428,729",ALLSHRKMIALLSHR
