Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks
BTL,310.0,"2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014","1, 1, 1, 2, 1, 1, 1, 1, 1",Yes,2023: 5.32% | 2022: 10.65% | 2021: 10.65% | 2019: 13.94% | 2018: 7.42% | 2017: 4.94% | 2016: 1.61% | 2015: 1.61% | 2014: 0.81%,2023: Rs.16.50 | 2022: Rs.33.00 | 2021: Rs.33.00 | 2019: Rs.43.20 | 2018: Rs.23.00 | 2017: Rs.15.30 | 2016: Rs.5.00 | 2015: Rs.5.00 | 2014: Rs.2.50,100.0%,Minor gap detected but overall consistent: 9 years with dividends
BUXL,183.01,"2008, 2005, 2004","1, 1, 1",Yes,2008: 0.55% | 2005: 0.68% | 2004: 0.68%,2008: Rs.1.00 | 2005: Rs.1.25 | 2004: Rs.1.25,100.0%,"High consistency (100.0%): 3 years with dividends, Pattern: 1 dividends per year"
BWCL,532.24,"2025, 2024, 2023","2, 4, 4",Yes,2025: 3.38% | 2024: 5.64% | 2023: 4.32%,2025: Rs.18.00 | 2024: Rs.30.00 | 2023: Rs.23.00,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 4 dividends per year"
BWHL,181.02,"2024, 2023, 2022","3, 4, 3",Yes,2024: 6.63% | 2023: 6.91% | 2022: 5.11%,2024: Rs.12.00 | 2023: Rs.12.50 | 2022: Rs.9.25,100.0%,Perfect consistency: 3 consecutive years
CCM,53.87,"2022, 2018, 2017, 2013, 2012, 2006, 2005","1, 1, 1, 1, 1, 1, 1",Yes,2022: 1.39% | 2018: 0.19% | 2017: 1.11% | 2013: 3.71% | 2012: 0.00% | 2006: 2.32% | 2005: 0.00%,2022: Rs.0.75 | 2018: Rs.0.10 | 2017: Rs.0.60 | 2013: Rs.2.00 | 2012: Rs.0.00 | 2006: Rs.1.25 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 7 years with dividends, Pattern: 1 dividends per year"
CENI,46.02,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 13.04% | 2023: 9.78% | 2022: 5.43% | 2021: 4.89% | 2020: 4.35% | 2019: 3.80% | 2018: 2.72% | 2017: 3.80% | 2016: 3.80% | 2015: 10.86%,2024: Rs.6.00 | 2023: Rs.4.50 | 2022: Rs.2.50 | 2021: Rs.2.25 | 2020: Rs.2.00 | 2019: Rs.1.75 | 2018: Rs.1.25 | 2017: Rs.1.75 | 2016: Rs.1.75 | 2015: Rs.5.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
CEPB,28.92,"2023, 2021, 2020, 2019, 2018, 2017, 2013, 2012, 2009","1, 1, 1, 1, 1, 1, 2, 1, 1",Yes,2023: 27.66% | 2021: 5.19% | 2020: 5.19% | 2019: 3.46% | 2018: 2.59% | 2017: 5.19% | 2013: 12.10% | 2012: 8.64% | 2009: 146.96%,2023: Rs.8.00 | 2021: Rs.1.50 | 2020: Rs.1.50 | 2019: Rs.1.00 | 2018: Rs.0.75 | 2017: Rs.1.50 | 2013: Rs.3.50 | 2012: Rs.2.50 | 2009: Rs.42.50,100.0%,High consistency (100.0%): 9 years with dividends
CFL,51.05,"2021, 2016, 2015, 2014, 2013, 2012, 2010","1, 1, 2, 2, 1, 2, 1",Yes,2021: 2.94% | 2016: 1.96% | 2015: 5.88% | 2014: 3.92% | 2013: 2.94% | 2012: 3.92% | 2010: 1.96%,2021: Rs.1.50 | 2016: Rs.1.00 | 2015: Rs.3.00 | 2014: Rs.2.00 | 2013: Rs.1.50 | 2012: Rs.2.00 | 2010: Rs.1.00,100.0%,High consistency (100.0%): 7 years with dividends
CHAS,72.43,"2023, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2011, 2010","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2023: 6.90% | 2021: 6.90% | 2020: 6.90% | 2019: 6.90% | 2018: 2.07% | 2017: 2.07% | 2016: 6.21% | 2015: 3.45% | 2011: 1.38% | 2010: 1.38%,2023: Rs.5.00 | 2021: Rs.5.00 | 2020: Rs.5.00 | 2019: Rs.5.00 | 2018: Rs.1.50 | 2017: Rs.1.50 | 2016: Rs.4.50 | 2015: Rs.2.50 | 2011: Rs.1.00 | 2010: Rs.1.00,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
CHCC,299.37,"2024, 2023, 2022, 2021, 2020, 2019, 2018","2, 3, 1, 1, 1, 1, 1",Yes,2024: 1.84% | 2023: 2.00% | 2022: 1.00% | 2021: 0.42% | 2020: 0.33% | 2019: 0.33% | 2018: 1.34%,2024: Rs.5.50 | 2023: Rs.6.00 | 2022: Rs.3.00 | 2021: Rs.1.25 | 2020: Rs.1.00 | 2019: Rs.1.00 | 2018: Rs.4.00,100.0%,Perfect consistency: 7 consecutive years
CLOV,40.52,"2024, 2019, 2018, 2016, 2015, 2014, 2013, 2012, 2011","1, 1, 1, 1, 2, 1, 1, 1, 1",Yes,2024: 6.17% | 2019: 6.17% | 2018: 7.40% | 2016: 2.47% | 2015: 148.08% | 2014: 33.32% | 2013: 14.81% | 2012: 24.68% | 2011: 9.87%,2024: Rs.2.50 | 2019: Rs.2.50 | 2018: Rs.3.00 | 2016: Rs.1.00 | 2015: Rs.60.00 | 2014: Rs.13.50 | 2013: Rs.6.00 | 2012: Rs.10.00 | 2011: Rs.4.00,100.0%,High consistency (100.0%): 9 years with dividends
COLG,1317.88,"2024, 2023, 2022, 2021, 2020","2, 3, 2, 2, 1",Yes,2024: 5.05% | 2023: 5.12% | 2022: 3.64% | 2021: 3.68% | 2020: 1.90%,2024: Rs.66.50 | 2023: Rs.67.50 | 2022: Rs.48.00 | 2021: Rs.48.50 | 2020: Rs.25.00,100.0%,Perfect consistency: 5 consecutive years
CPHL,85.37,"2024, 2023, 2021","1, 1, 1",Yes,2024: 3.81% | 2023: 2.93% | 2021: 1.76%,2024: Rs.3.25 | 2023: Rs.2.50 | 2021: Rs.1.50,100.0%,"Minor gap detected but overall consistent: 3 years with dividends, Pattern: 1 dividends per year"
CPPL,120.21,"2024, 2023, 2022, 2021, 2020","2, 3, 1, 2, 2",Yes,2024: 3.74% | 2023: 3.33% | 2022: 1.25% | 2021: 4.16% | 2020: 1.66%,2024: Rs.4.50 | 2023: Rs.4.00 | 2022: Rs.1.50 | 2021: Rs.5.00 | 2020: Rs.2.00,100.0%,Perfect consistency: 5 consecutive years
CRTM,21.05,"2023, 2022, 2021, 2019, 2016, 2015, 2014, 2010, 2007","1, 1, 1, 1, 1, 2, 1, 1, 1",Yes,2023: 4.75% | 2022: 4.75% | 2021: 11.88% | 2019: 2.85% | 2016: 5.96% | 2015: 28.56% | 2014: 5.94% | 2010: 7.13% | 2007: 4.75%,2023: Rs.1.00 | 2022: Rs.1.00 | 2021: Rs.2.50 | 2019: Rs.0.60 | 2016: Rs.1.26 | 2015: Rs.6.01 | 2014: Rs.1.25 | 2010: Rs.1.50 | 2007: Rs.1.00,100.0%,High consistency (100.0%): 9 years with dividends
CSAP,102.04,"2025, 2024, 2023, 2018, 2017, 2016","2, 2, 1, 1, 3, 1",Yes,2025: 5.39% | 2024: 5.39% | 2023: 1.96% | 2018: 0.98% | 2017: 4.66% | 2016: 1.47%,2025: Rs.5.50 | 2024: Rs.5.50 | 2023: Rs.2.00 | 2018: Rs.1.00 | 2017: Rs.4.75 | 2016: Rs.1.50,100.0%,High consistency (100.0%): 5 years with dividends
CSIL,3.86,"2025, 2017, 2015, 2013, 2007, 2006, 2005","1, 1, 1, 1, 2, 1, 1",Yes,2025: 98.45% | 2017: 78.37% | 2015: 86.35% | 2013: 1068.65% | 2007: 90.67% | 2006: 0.00% | 2005: 25.91%,2025: Rs.3.80 | 2017: Rs.3.02 | 2015: Rs.3.33 | 2013: Rs.41.25 | 2007: Rs.3.50 | 2006: Rs.0.00 | 2005: Rs.1.00,100.0%,High consistency (100.0%): 6 years with dividends
CYAN,39.93,"2025, 2024, 2021, 2020, 2019, 2018, 2016","1, 1, 2, 1, 2, 1, 2",Yes,2025: 10.02% | 2024: 2.50% | 2021: 25.04% | 2020: 12.52% | 2019: 3.76% | 2018: 6.26% | 2016: 12.52%,2025: Rs.4.00 | 2024: Rs.1.00 | 2021: Rs.10.00 | 2020: Rs.5.00 | 2019: Rs.1.50 | 2018: Rs.2.50 | 2016: Rs.5.00,100.0%,High consistency (100.0%): 6 years with dividends
DADX,69.06,"2018, 2017, 2012, 2011, 2008, 2007, 2006, 2005, 2004","1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2018: 0.29% | 2017: 0.91% | 2012: 25.77% | 2011: 58.64% | 2008: 5.79% | 2007: 4.34% | 2006: 2.53% | 2005: 5.07% | 2004: 0.00%,2018: Rs.0.20 | 2017: Rs.0.63 | 2012: Rs.17.80 | 2011: Rs.40.50 | 2008: Rs.4.00 | 2007: Rs.3.00 | 2006: Rs.1.75 | 2005: Rs.3.50 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 9 years with dividends, Pattern: 1 dividends per year"
DCL,12.92,"2006, 2005, 2004","1, 1, 1",Yes,2006: 3.87% | 2005: 77.40% | 2004: 0.00%,2006: Rs.0.50 | 2005: Rs.10.00 | 2004: Rs.0.00,100.0%,"Perfect consistency: 3 consecutive years, Pattern: 1 dividends per year"
DCR,28.28,"2025, 2024, 2023, 2022","2, 3, 4, 1",Yes,2025: 3.89% | 2024: 5.30% | 2023: 6.65% | 2022: 1.52%,2025: Rs.1.10 | 2024: Rs.1.50 | 2023: Rs.1.88 | 2022: Rs.0.43,100.0%,Perfect consistency: 3 consecutive years
DEL,12.65,"2021, 2018","1, 1",Yes,2021: 7.91% | 2018: 0.79%,2021: Rs.1.00 | 2018: Rs.0.10,100.0%,"High consistency (100.0%): 2 years with dividends, Pattern: 1 dividends per year"
DFML,34.69,"2006, 2005, 2004","1, 1, 1",Yes,2006: 2.88% | 2005: 4.32% | 2004: 1.44%,2006: Rs.1.00 | 2005: Rs.1.50 | 2004: Rs.0.50,100.0%,"Perfect consistency: 3 consecutive years, Pattern: 1 dividends per year"
DGKC,181.93,"2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014, 2013","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2022: 0.55% | 2021: 0.55% | 2019: 0.55% | 2018: 2.34% | 2017: 4.12% | 2016: 3.30% | 2015: 2.75% | 2014: 1.92% | 2013: 3.30%,2022: Rs.1.00 | 2021: Rs.1.00 | 2019: Rs.1.00 | 2018: Rs.4.25 | 2017: Rs.7.50 | 2016: Rs.6.00 | 2015: Rs.5.00 | 2014: Rs.3.50 | 2013: Rs.6.00,100.0%,Minor gap detected but overall consistent: 9 years with dividends
DIIL,32.03,"2007, 2004","1, 1",Yes,2007: 6.24% | 2004: 0.00%,2007: Rs.2.00 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 2 years with dividends, Pattern: 1 dividends per year"
DINT,84.07,"2019, 2018, 2016, 2013, 2011, 2010, 2008, 2006","2, 1, 1, 2, 1, 1, 1, 1",Yes,2019: 12.49% | 2018: 3.57% | 2016: 1.49% | 2013: 8.92% | 2011: 2.38% | 2010: 2.38% | 2008: 1.19% | 2006: 0.00%,2019: Rs.10.50 | 2018: Rs.3.00 | 2016: Rs.1.25 | 2013: Rs.7.50 | 2011: Rs.2.00 | 2010: Rs.2.00 | 2008: Rs.1.00 | 2006: Rs.0.00,100.0%,High consistency (100.0%): 8 years with dividends
DLL,286.89,"2024, 2022, 2021, 2020, 2019, 2018","2, 2, 2, 1, 2, 1",Yes,2024: 2.79% | 2022: 2.44% | 2021: 2.18% | 2020: 1.39% | 2019: 2.44% | 2018: 1.39%,2024: Rs.8.00 | 2022: Rs.7.00 | 2021: Rs.6.25 | 2020: Rs.4.00 | 2019: Rs.7.00 | 2018: Rs.4.00,100.0%,Minor gap detected but overall consistent: 6 years with dividends
DNCC,15.25,"2021, 2007, 2005, 2004","1, 1, 1, 1",Yes,2021: 0.00% | 2007: 26.10% | 2005: 3.28% | 2004: 0.00%,2021: Rs.0.00 | 2007: Rs.3.98 | 2005: Rs.0.50 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 4 years with dividends, Pattern: 1 dividends per year"
DOL,34.11,"2024, 2023, 2022, 2021, 2020, 2018, 2012","2, 1, 2, 1, 1, 2, 1",Yes,2024: 11.73% | 2023: 5.86% | 2022: 11.73% | 2021: 2.93% | 2020: 2.93% | 2018: 6.45% | 2012: 29.32%,2024: Rs.4.00 | 2023: Rs.2.00 | 2022: Rs.4.00 | 2021: Rs.1.00 | 2020: Rs.1.00 | 2018: Rs.2.20 | 2012: Rs.10.00,100.0%,High consistency (100.0%): 7 years with dividends
DSIL,6.52,"2008, 2007","2, 1",Yes,2008: 168.71% | 2007: 15.34%,2008: Rs.11.00 | 2007: Rs.1.00,100.0%,Perfect consistency: 2 consecutive years
DYNO,290.88,"2024, 2023, 2022, 2021, 2020, 2019, 2018","2, 2, 1, 1, 2, 1, 1",Yes,2024: 10.31% | 2023: 12.03% | 2022: 5.16% | 2021: 3.44% | 2020: 5.16% | 2019: 1.72% | 2018: 4.47%,2024: Rs.30.00 | 2023: Rs.35.00 | 2022: Rs.15.00 | 2021: Rs.10.00 | 2020: Rs.15.00 | 2019: Rs.5.00 | 2018: Rs.13.00,100.0%,Perfect consistency: 7 consecutive years
ECOP,52.02,"2024, 2022, 2021, 2019, 2018, 2017, 2016, 2005, 2004","1, 1, 1, 1, 1, 1, 1, 2, 1",Yes,2024: 2.88% | 2022: 2.88% | 2021: 1.92% | 2019: 0.96% | 2018: 1.92% | 2017: 1.92% | 2016: 4.81% | 2005: 5.77% | 2004: 1.92%,2024: Rs.1.50 | 2022: Rs.1.50 | 2021: Rs.1.00 | 2019: Rs.0.50 | 2018: Rs.1.00 | 2017: Rs.1.00 | 2016: Rs.2.50 | 2005: Rs.3.00 | 2004: Rs.1.00,100.0%,High consistency (100.0%): 9 years with dividends
EFERT,209.76,"2025, 2024, 2023","2, 4, 4",Yes,2025: 3.10% | 2024: 10.25% | 2023: 9.77%,2025: Rs.6.50 | 2024: Rs.21.50 | 2023: Rs.20.50,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 4 dividends per year"
EFUG,125.96,"2025, 2024, 2023, 2022","1, 3, 4, 2",Yes,2025: 1.19% | 2024: 6.75% | 2023: 7.94% | 2022: 5.56%,2025: Rs.1.50 | 2024: Rs.8.50 | 2023: Rs.10.00 | 2022: Rs.7.00,100.0%,Perfect consistency: 3 consecutive years
EFUL,157.71,"2025, 2024, 2023, 2022","1, 4, 4, 1",Yes,2025: 0.95% | 2024: 9.51% | 2023: 9.51% | 2022: 6.66%,2025: Rs.1.50 | 2024: Rs.15.00 | 2023: Rs.15.00 | 2022: Rs.10.50,100.0%,Perfect consistency: 3 consecutive years
ELCM,137.41,"2019, 2005, 2004","1, 1, 1",Yes,2019: 0.36% | 2005: 0.00% | 2004: 0.00%,2019: Rs.0.50 | 2005: Rs.0.00 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 3 years with dividends, Pattern: 1 dividends per year"
ELSM,117.98,"2024, 2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 2, 1, 1, 1, 1, 1",Yes,2024: 4.24% | 2023: 5.09% | 2022: 8.48% | 2021: 8.48% | 2019: 5.09% | 2018: 5.09% | 2017: 2.97% | 2016: 2.97% | 2015: 2.97%,2024: Rs.5.00 | 2023: Rs.6.00 | 2022: Rs.10.00 | 2021: Rs.10.00 | 2019: Rs.6.00 | 2018: Rs.6.00 | 2017: Rs.3.50 | 2016: Rs.3.50 | 2015: Rs.3.50,100.0%,Minor gap detected but overall consistent: 9 years with dividends
EMCO,64.48,"2023, 2022, 2021, 2008, 2007, 2004","1, 1, 1, 2, 1, 1",Yes,2023: 0.78% | 2022: 0.78% | 2021: 1.55% | 2008: 39.78% | 2007: 0.78% | 2004: 0.00%,2023: Rs.0.50 | 2022: Rs.0.50 | 2021: Rs.1.00 | 2008: Rs.25.65 | 2007: Rs.0.50 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 6 years with dividends
EPCL,29.38,"2023, 2022, 2021","4, 4, 2",Yes,2023: 15.32% | 2022: 42.55% | 2021: 28.93%,2023: Rs.4.50 | 2022: Rs.12.50 | 2021: Rs.8.50,100.0%,Perfect consistency: 3 consecutive years
EPCLPS,12.0,"2023, 2022, 2021","4, 4, 2",Yes,2023: 19.33% | 2022: 14.33% | 2021: 4.75%,2023: Rs.2.32 | 2022: Rs.1.72 | 2021: Rs.0.57,100.0%,Perfect consistency: 3 consecutive years
EPQL,31.3,"2025, 2024, 2023, 2022, 2021","2, 2, 3, 2, 1",Yes,2025: 31.95% | 2024: 19.17% | 2023: 9.58% | 2022: 25.56% | 2021: 19.17%,2025: Rs.10.00 | 2024: Rs.6.00 | 2023: Rs.3.00 | 2022: Rs.8.00 | 2021: Rs.6.00,100.0%,Perfect consistency: 4 consecutive years
ESBL,6.99,"2018, 2008, 2007, 2006, 2005, 2004","1, 1, 1, 1, 3, 1",Yes,2018: 296.82% | 2008: 28.61% | 2007: 28.61% | 2006: 28.61% | 2005: 28.61% | 2004: 21.46%,2018: Rs.20.75 | 2008: Rs.2.00 | 2007: Rs.2.00 | 2006: Rs.2.00 | 2005: Rs.2.00 | 2004: Rs.1.50,100.0%,High consistency (100.0%): 6 years with dividends
EWIC,57.29,"2024, 2022, 2021, 2020, 2019, 2018, 2016, 2015","2, 2, 1, 1, 1, 1, 1, 1",Yes,2024: 4.36% | 2022: 3.05% | 2021: 2.62% | 2020: 2.62% | 2019: 3.49% | 2018: 4.36% | 2016: 2.18% | 2015: 2.18%,2024: Rs.2.50 | 2022: Rs.1.75 | 2021: Rs.1.50 | 2020: Rs.1.50 | 2019: Rs.2.00 | 2018: Rs.2.50 | 2016: Rs.1.25 | 2015: Rs.1.25,100.0%,High consistency (100.0%): 8 years with dividends
EXIDE,780.61,"2025, 2024, 2023, 2017, 2016, 2015, 2014, 2013, 2012, 2011","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2025: 1.28% | 2024: 1.28% | 2023: 1.28% | 2017: 1.60% | 2016: 1.28% | 2015: 0.96% | 2014: 0.96% | 2013: 0.77% | 2012: 0.77% | 2011: 0.77%,2025: Rs.10.00 | 2024: Rs.10.00 | 2023: Rs.10.00 | 2017: Rs.12.50 | 2016: Rs.10.00 | 2015: Rs.7.50 | 2014: Rs.7.50 | 2013: Rs.6.00 | 2012: Rs.6.00 | 2011: Rs.6.00,100.0%,"High consistency (100.0%): 9 years with dividends, Pattern: 1 dividends per year"
FABL,76.38,"2025, 2024, 2023, 2022","1, 4, 3, 2",Yes,2025: 1.96% | 2024: 9.16% | 2023: 5.24% | 2022: 8.51%,2025: Rs.1.50 | 2024: Rs.7.00 | 2023: Rs.4.00 | 2022: Rs.6.50,100.0%,Perfect consistency: 3 consecutive years
FANM,5.02,"2022, 2017, 2015, 2014, 2013, 2012, 2011, 2010","1, 1, 1, 1, 1, 2, 2, 1",Yes,2022: 19.92% | 2017: 2.39% | 2015: 9.96% | 2014: 14.94% | 2013: 9.96% | 2012: 31.87% | 2011: 31.87% | 2010: 9.96%,2022: Rs.1.00 | 2017: Rs.0.12 | 2015: Rs.0.50 | 2014: Rs.0.75 | 2013: Rs.0.50 | 2012: Rs.1.60 | 2011: Rs.1.60 | 2010: Rs.0.50,100.0%,High consistency (100.0%): 8 years with dividends
FASM,407.78,"2023, 2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014","1, 1, 1, 2, 1, 1, 1, 1, 1",Yes,2023: 2.82% | 2022: 5.26% | 2021: 5.26% | 2019: 8.22% | 2018: 5.69% | 2017: 4.23% | 2016: 1.23% | 2015: 1.23% | 2014: 1.23%,2023: Rs.11.50 | 2022: Rs.21.45 | 2021: Rs.21.45 | 2019: Rs.33.50 | 2018: Rs.23.20 | 2017: Rs.17.25 | 2016: Rs.5.00 | 2015: Rs.5.00 | 2014: Rs.5.00,100.0%,Minor gap detected but overall consistent: 9 years with dividends
FATIMA,124.06,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017","2, 2, 1, 1, 1, 1, 1, 1",Yes,2024: 5.64% | 2023: 3.63% | 2022: 2.82% | 2021: 2.82% | 2020: 2.02% | 2019: 1.61% | 2018: 1.41% | 2017: 1.81%,2024: Rs.7.00 | 2023: Rs.4.50 | 2022: Rs.3.50 | 2021: Rs.3.50 | 2020: Rs.2.50 | 2019: Rs.2.00 | 2018: Rs.1.75 | 2017: Rs.2.25,100.0%,Perfect consistency: 8 consecutive years
FCCL,49.51,"2024, 2022, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 3, 1, 1, 2",Yes,2024: 2.02% | 2022: 2.52% | 2019: 1.51% | 2018: 5.55% | 2017: 1.82% | 2016: 2.02% | 2015: 6.56%,2024: Rs.1.00 | 2022: Rs.1.25 | 2019: Rs.0.75 | 2018: Rs.2.75 | 2017: Rs.0.90 | 2016: Rs.1.00 | 2015: Rs.3.25,100.0%,High consistency (100.0%): 7 years with dividends
FCONM,1.19,"2006, 2005, 2004","1, 1, 1",Yes,2006: 42.02% | 2005: 0.00% | 2004: 46.22%,2006: Rs.0.50 | 2005: Rs.0.00 | 2004: Rs.0.55,100.0%,"Perfect consistency: 3 consecutive years, Pattern: 1 dividends per year"
FCSC,2.76,"2010, 2009, 2008, 2007, 2006, 2005, 2004","1, 2, 1, 1, 1, 1, 1",Yes,2010: 36.23% | 2009: 90.58% | 2008: 144.93% | 2007: 72.46% | 2006: 126.81% | 2005: 0.00% | 2004: 144.93%,2010: Rs.1.00 | 2009: Rs.2.50 | 2008: Rs.4.00 | 2007: Rs.2.00 | 2006: Rs.3.50 | 2005: Rs.0.00 | 2004: Rs.4.00,100.0%,Perfect consistency: 7 consecutive years
FECM,28.14,"2021, 2018, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2021: 1.07% | 2018: 1.07% | 2015: 1.95% | 2014: 1.95% | 2013: 1.95% | 2012: 1.95% | 2011: 1.95% | 2010: 1.78% | 2009: 1.60% | 2008: 2.13%,2021: Rs.0.30 | 2018: Rs.0.30 | 2015: Rs.0.55 | 2014: Rs.0.55 | 2013: Rs.0.55 | 2012: Rs.0.55 | 2011: Rs.0.55 | 2010: Rs.0.50 | 2009: Rs.0.45 | 2008: Rs.0.60,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year"
FECTC,84.34,"2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012","1, 1, 1, 1, 2, 1, 2, 1",Yes,2019: 0.59% | 2018: 2.37% | 2017: 2.96% | 2016: 2.37% | 2015: 11.86% | 2014: 1.78% | 2013: 2.96% | 2012: 1.19%,2019: Rs.0.50 | 2018: Rs.2.00 | 2017: Rs.2.50 | 2016: Rs.2.00 | 2015: Rs.10.00 | 2014: Rs.1.50 | 2013: Rs.2.50 | 2012: Rs.1.00,100.0%,Perfect consistency: 8 consecutive years
FEM,5.2,"2021, 2017, 2016, 2015, 2014, 2007, 2005","1, 1, 1, 1, 1, 1, 1",Yes,2021: 9.62% | 2017: 11.54% | 2016: 2.50% | 2015: 3.27% | 2014: 7.21% | 2007: 4.81% | 2005: 0.00%,2021: Rs.0.50 | 2017: Rs.0.60 | 2016: Rs.0.13 | 2015: Rs.0.17 | 2014: Rs.0.38 | 2007: Rs.0.25 | 2005: Rs.0.00,100.0%,"High consistency (100.0%): 7 years with dividends, Pattern: 1 dividends per year"
FEROZ,396.63,"2024, 2022, 2021, 2020, 2019, 2018, 2017, 2016","1, 1, 1, 1, 1, 2, 1, 2",Yes,2024: 0.76% | 2022: 0.50% | 2021: 2.52% | 2020: 1.01% | 2019: 1.01% | 2018: 1.01% | 2017: 1.01% | 2016: 3.78%,2024: Rs.3.00 | 2022: Rs.2.00 | 2021: Rs.10.00 | 2020: Rs.4.00 | 2019: Rs.4.00 | 2018: Rs.4.00 | 2017: Rs.4.00 | 2016: Rs.15.00,100.0%,Minor gap detected but overall consistent: 8 years with dividends
FFC,470.42,"2025, 2024, 2023, 2022","2, 3, 4, 1",Yes,2025: 4.04% | 2024: 7.76% | 2023: 3.29% | 2022: 0.67%,2025: Rs.19.00 | 2024: Rs.36.50 | 2023: Rs.15.49 | 2022: Rs.3.15,100.0%,Perfect consistency: 3 consecutive years
FFL,15.5,"2021, 2017, 2015, 2014, 2011, 2010, 2009, 2007, 2004","1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2021: 62.71% | 2017: 193.55% | 2015: 207.23% | 2014: 80.65% | 2011: 6.45% | 2010: 7.74% | 2009: 6.45% | 2007: 322.58% | 2004: 0.00%,2021: Rs.9.72 | 2017: Rs.30.00 | 2015: Rs.32.12 | 2014: Rs.12.50 | 2011: Rs.1.00 | 2010: Rs.1.20 | 2009: Rs.1.00 | 2007: Rs.50.00 | 2004: Rs.0.00,100.0%,"High consistency (100.0%): 9 years with dividends, Pattern: 1 dividends per year"
FFLM,8.0,"2018, 2012, 2008, 2007, 2006, 2004","2, 1, 1, 1, 2, 1",Yes,2018: 16.25% | 2012: 6.25% | 2008: 12.50% | 2007: 12.50% | 2006: 25.00% | 2004: 0.00%,2018: Rs.1.30 | 2012: Rs.0.50 | 2008: Rs.1.00 | 2007: Rs.1.00 | 2006: Rs.2.00 | 2004: Rs.0.00,100.0%,High consistency (100.0%): 6 years with dividends
FHAM,29.49,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 7.12% | 2023: 6.78% | 2022: 6.78% | 2021: 9.49% | 2020: 9.49% | 2019: 9.49% | 2018: 8.48% | 2017: 6.78% | 2016: 6.78% | 2015: 7.46%,2024: Rs.2.10 | 2023: Rs.2.00 | 2022: Rs.2.00 | 2021: Rs.2.80 | 2020: Rs.2.80 | 2019: Rs.2.80 | 2018: Rs.2.50 | 2017: Rs.2.00 | 2016: Rs.2.00 | 2015: Rs.2.20,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
FIBLM,7.01,"2020, 2019, 2017, 2016, 2015, 2013, 2012, 2010, 2008","1, 1, 1, 1, 1, 1, 1, 2, 1",Yes,2020: 1.85% | 2019: 2.28% | 2017: 5.09% | 2016: 5.01% | 2015: 2.85% | 2013: 4.78% | 2012: 4.72% | 2010: 8.56% | 2008: 7.13%,2020: Rs.0.13 | 2019: Rs.0.16 | 2017: Rs.0.36 | 2016: Rs.0.35 | 2015: Rs.0.20 | 2013: Rs.0.34 | 2012: Rs.0.33 | 2010: Rs.0.60 | 2008: Rs.0.50,100.0%,High consistency (100.0%): 9 years with dividends
FIMM,200.0,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 7.50% | 2023: 2.50% | 2022: 2.75% | 2021: 7.75% | 2020: 3.75% | 2019: 2.50% | 2018: 2.83% | 2017: 5.00% | 2016: 6.00% | 2015: 4.50%,2024: Rs.15.00 | 2023: Rs.5.00 | 2022: Rs.5.50 | 2021: Rs.15.50 | 2020: Rs.7.50 | 2019: Rs.5.00 | 2018: Rs.5.67 | 2017: Rs.10.00 | 2016: Rs.12.00 | 2015: Rs.9.00,100.0%,"Perfect consistency: 10 consecutive years, Pattern: 1 dividends per year"
